gender, Category, product_name,link, product_images,price,description
hombre,accesorio,  3-PACK OF ASSORTED BOXERS,https://www.zara.com/in/en/3-pack-of-assorted-boxers-p04442311.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/311/555/2/w/448/4442311555_6_1_1.jpg?ts=1692790057824': 'Image 0 of 3-PACK OF ASSORTED BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/311/555/2/w/448/4442311555_6_2_1.jpg?ts=1692790057662': 'Image 1 of 3-PACK OF ASSORTED BOXERS from Zara'}]","₹ 1,990.00",Pack of three boxers with an elastic waistband. Fabric with a faded finish.
hombre,accesorio,  3-PACK OF ASSORTED BRIEFS,https://www.zara.com/in/en/3-pack-of-assorted-briefs-p03661304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3661/304/555/2/w/448/3661304555_6_1_1.jpg?ts=1691752221311': 'Image 0 of 3-PACK OF ASSORTED BRIEFS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3661/304/555/2/w/448/3661304555_6_2_1.jpg?ts=1691752221319': 'Image 1 of 3-PACK OF ASSORTED BRIEFS from Zara'}]","₹ 1,990.00",Pack of 3 pairs of briefs with an elasticated waistband.
hombre,accesorio,  SMART LEATHER BELT,https://www.zara.com/in/en/smart-leather-belt-p02823407.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/407/800/32/w/448/2823407800_1_1_1.jpg?ts=1692806802807': 'Image 0 of SMART LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/407/800/2/w/448/2823407800_6_1_1.jpg?ts=1692883294436': 'Image 1 of SMART LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Fastening with metal buckle and belt loop.
hombre,accesorio,  LEATHER BELT,https://www.zara.com/in/en/leather-belt-p05717301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5717/301/705/2/w/448/5717301705_6_1_1.jpg?ts=1689260306274': 'Image 0 of LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5717/301/705/2/w/448/5717301705_6_2_1.jpg?ts=1689260306523': 'Image 1 of LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt with a nubuck finish. Fastening with metal buckle and loop.
hombre,accesorio,  FADED LEATHER BELT,https://www.zara.com/in/en/faded-leather-belt-p05919312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5919/312/800/2/w/448/5919312800_6_1_1.jpg?ts=1690470215826': 'Image 0 of FADED LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5919/312/800/2/w/448/5919312800_6_2_1.jpg?ts=1690470215749': 'Image 1 of FADED LEATHER BELT from Zara'}]","₹ 2,990.00",Faded leather belt with metal buckle fastening.
hombre,accesorio,  THIN LEATHER BELT,https://www.zara.com/in/en/thin-leather-belt-p06399403.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6399/403/832/2/w/448/6399403832_6_1_1.jpg?ts=1692350271232': 'Image 0 of THIN LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6399/403/832/2/w/448/6399403832_6_2_1.jpg?ts=1692350272296': 'Image 1 of THIN LEATHER BELT from Zara'}]","₹ 2,990.00",Thin leather belt. Fastens with metal buckle and loop.
hombre,accesorio,  SPLIT SUEDE BELT,https://www.zara.com/in/en/split-suede-belt-p06399401.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6399/401/737/2/w/448/6399401737_6_1_1.jpg?ts=1683819347036': 'Image 0 of SPLIT SUEDE BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6399/401/737/2/w/448/6399401737_6_2_1.jpg?ts=1683819347068': 'Image 1 of SPLIT SUEDE BELT from Zara'}]","₹ 2,590.00",Leather belt with a split suede finish. Topstitching detail. Fastening with a metal buckle and belt loop.
hombre,accesorio,  CONTRAST LEATHER BELT,https://www.zara.com/in/en/contrast-leather-belt-p02823303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/303/746/2/w/448/2823303746_6_1_1.jpg?ts=1686123672080': 'Image 0 of CONTRAST LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/303/746/2/w/448/2823303746_6_2_1.jpg?ts=1686123672559': 'Image 1 of CONTRAST LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Contrast topstitching detail. Fastens with a metal buckle and loop.
hombre,accesorio,  LEATHER BELT,https://www.zara.com/in/en/leather-belt-p02823307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/307/800/2/w/448/2823307800_6_1_1.jpg?ts=1690187824999': 'Image 0 of LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/307/800/2/w/448/2823307800_6_2_1.jpg?ts=1690187825830': 'Image 1 of LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Metallic eyelets. Fastening with metallic buckle and belt loop.
hombre,accesorio,  LEATHER BELT,https://www.zara.com/in/en/leather-belt-p05919306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5919/306/800/2/w/448/5919306800_6_1_1.jpg?ts=1689260306189': 'Image 0 of LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5919/306/800/2/w/448/5919306800_6_2_1.jpg?ts=1689260295796': 'Image 1 of LEATHER BELT from Zara'}]","₹ 2,990.00",Leather belt. Metal loop and buckle fastening with embossed details.
hombre,accesorio,  LEATHER BELT,https://www.zara.com/in/en/leather-belt-p05919303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5919/303/800/2/w/448/5919303800_6_1_1.jpg?ts=1688713056878': 'Image 0 of LEATHER BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5919/303/800/2/w/448/5919303800_6_2_1.jpg?ts=1688713059394': 'Image 1 of LEATHER BELT from Zara'}]","₹ 2,990.00",Thin leather belt with metal buckle fastening.
hombre,accesorio,  SPLIT SUEDE BELT,https://www.zara.com/in/en/split-suede-belt-p02823409.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2823/409/702/2/w/448/2823409702_6_1_1.jpg?ts=1692790067427': 'Image 0 of SPLIT SUEDE BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2823/409/702/2/w/448/2823409702_6_2_1.jpg?ts=1692790067424': 'Image 1 of SPLIT SUEDE BELT from Zara'}]","₹ 2,990.00",Narrow leather belt with a split suede finish. Fastening with metal buckle and loop.
